coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,message,rain
"{'lon': 8.89, 'lat': 14.97}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 91.42, 'feels_like': 82.54, 'temp_min': 91.42, 'temp_max': 91.42, 'pressure': 1008, 'humidity': 11, 'sea_level': 1008, 'grnd_level': 950}",,"{'speed': 8.79, 'deg': 60}",{'all': 6},1593038496.0,"{'country': 'NE', 'sunrise': 1592974590, 'sunset': 1593021433}",3600.0,2439155.0,Tanout,200,,
"{'lon': -42.03, 'lat': -22.97}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 72.37, 'feels_like': 66.11, 'temp_min': 72.37, 'temp_max': 72.37, 'pressure': 1017, 'humidity': 76, 'sea_level': 1017, 'grnd_level': 1016}",,"{'speed': 20.02, 'deg': 37}",{'all': 37},1593038496.0,"{'country': 'BR', 'sunrise': 1592990931, 'sunset': 1593029537}",-10800.0,3471451.0,Arraial do Cabo,200,,
"{'lon': -104.7, 'lat': 19.22}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 86, 'feels_like': 92.23, 'temp_min': 86, 'temp_max': 86, 'pressure': 1008, 'humidity': 74}",16093.0,"{'speed': 9.17, 'deg': 220}",{'all': 40},1593038496.0,"{'type': 1, 'id': 7166, 'country': 'MX', 'sunrise': 1593001362, 'sunset': 1593049192}",-18000.0,3985168.0,San Patricio,200,,
"{'lon': -133.04, 'lat': 69.45}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 44.6, 'feels_like': 36.93, 'temp_min': 44.6, 'temp_max': 44.6, 'pressure': 1010, 'humidity': 79}",24140.0,"{'speed': 9.17, 'deg': 70}",{'all': 40},1593038496.0,"{'type': 1, 'id': 942, 'country': 'CA', 'sunrise': 0, 'sunset': 0}",-21600.0,6170031.0,Tuktoyaktuk,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': 128.87, 'lat': 71.69}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 65.93, 'feels_like': 62.1, 'temp_min': 65.93, 'temp_max': 65.93, 'pressure': 1008, 'humidity': 41, 'sea_level': 1008, 'grnd_level': 1004}",,"{'speed': 3.4, 'deg': 336}",{'all': 12},1593038496.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",32400.0,2015306.0,Tiksi,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': 18.42, 'lat': -33.93}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 57.51, 'feels_like': 50.31, 'temp_min': 55.99, 'temp_max': 60.01, 'pressure': 1013, 'humidity': 67}",10000.0,"{'speed': 11.41, 'deg': 350}",{'all': 1},1593038454.0,"{'type': 1, 'id': 1899, 'country': 'ZA', 'sunrise': 1593064321, 'sunset': 1593099951}",7200.0,3369157.0,Cape Town,200,,
"{'lon': 125.41, 'lat': -8.93}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 59.85, 'feels_like': 60.8, 'temp_min': 59.85, 'temp_max': 59.85, 'pressure': 1012, 'humidity': 100, 'sea_level': 1012, 'grnd_level': 856}",,"{'speed': 4.03, 'deg': 117}",{'all': 53},1593038496.0,"{'country': 'TL', 'sunrise': 1593035570, 'sunset': 1593077340}",32400.0,1651810.0,Airai,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -126.83, 'lat': 65.28}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 51.8, 'feels_like': 45.1, 'temp_min': 51.8, 'temp_max': 51.8, 'pressure': 1007, 'humidity': 81}",40233.0,"{'speed': 10.29, 'deg': 250}",{'all': 90},1593038496.0,"{'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1592990314, 'sunset': 1593070865}",-21600.0,6089245.0,Norman Wells,200,,
"{'lon': 149.2, 'lat': -21.15}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 53.47, 'feels_like': 49.71, 'temp_min': 51.8, 'temp_max': 55.99, 'pressure': 1019, 'humidity': 81}",10000.0,"{'speed': 5.82, 'deg': 270}",{'all': 0},1593038497.0,"{'type': 1, 'id': 9498, 'country': 'AU', 'sunrise': 1593031221, 'sunset': 1593070269}",36000.0,2159220.0,Mackay,200,,
"{'lon': 102.28, 'lat': 60.34}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 65.17, 'feels_like': 64.02, 'temp_min': 65.17, 'temp_max': 65.17, 'pressure': 1006, 'humidity': 55, 'sea_level': 1006, 'grnd_level': 975}",,"{'speed': 1.54, 'deg': 49}",{'all': 1},1593038497.0,"{'country': 'RU', 'sunrise': 1593027855, 'sunset': 1593096160}",25200.0,2013727.0,Vanavara,200,,
"{'lon': 161.3, 'lat': 68.75}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 59.65, 'feels_like': 53.37, 'temp_min': 59.65, 'temp_max': 59.65, 'pressure': 1011, 'humidity': 34, 'sea_level': 1011, 'grnd_level': 1011}",,"{'speed': 4.61, 'deg': 310}",{'all': 61},1593038497.0,"{'country': 'RU', 'sunrise': 0, 'sunset': 0}",39600.0,2126199.0,Cherskiy,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -20.27, 'lat': 63.44}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 50.9, 'feels_like': 49.3, 'temp_min': 50.9, 'temp_max': 50.9, 'pressure': 1006, 'humidity': 87, 'sea_level': 1006, 'grnd_level': 1006}",,"{'speed': 1.7, 'deg': 272}",{'all': 39},1593038497.0,"{'country': 'IS', 'sunrise': 1592967981, 'sunset': 1593042042}",0.0,3412093.0,Vestmannaeyjar,200,,
"{'lon': 59.53, 'lat': 22.57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 83.5, 'feels_like': 91.63, 'temp_min': 83.5, 'temp_max': 83.5, 'pressure': 1001, 'humidity': 82, 'sea_level': 1001, 'grnd_level': 1000}",,"{'speed': 6.53, 'deg': 181}",{'all': 0},1593038497.0,"{'country': 'OM', 'sunrise': 1593047945, 'sunset': 1593096593}",14400.0,286245.0,Sur,200,,
"{'lon': 27.85, 'lat': 71.04}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 46.51, 'feels_like': 34.86, 'temp_min': 46.51, 'temp_max': 46.51, 'pressure': 1024, 'humidity': 87, 'sea_level': 1024, 'grnd_level': 1022}",,"{'speed': 17.76, 'deg': 275}",{'all': 19},1593038497.0,"{'country': 'NO', 'sunrise': 0, 'sunset': 0}",7200.0,778707.0,Mehamn,200,,
,,,,,,,,,,,,404,city not found,
,,,,,,,,,,,,404,city not found,
"{'lon': 150.73, 'lat': -23.13}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 51.8, 'feels_like': 46.06, 'temp_min': 51.8, 'temp_max': 51.8, 'pressure': 1020, 'humidity': 66}",10000.0,"{'speed': 6.53, 'deg': 220}",{'all': 0},1593038497.0,"{'type': 1, 'id': 9499, 'country': 'AU', 'sunrise': 1593031093, 'sunset': 1593069662}",36000.0,2142316.0,Yeppoon,200,,
"{'lon': -12.51, 'lat': 7.53}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 77.99, 'feels_like': 83.46, 'temp_min': 77.99, 'temp_max': 77.99, 'pressure': 1013, 'humidity': 87, 'sea_level': 1013, 'grnd_level': 1012}",,"{'speed': 7.43, 'deg': 193}",{'all': 100},1593038497.0,"{'country': 'SL', 'sunrise': 1592980542, 'sunset': 1593025755}",0.0,2409914.0,Bonthe,200,,{'1h': 0.12}
"{'lon': 30.81, 'lat': -14.56}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 64.71, 'feels_like': 61.34, 'temp_min': 64.71, 'temp_max': 64.71, 'pressure': 1020, 'humidity': 60, 'sea_level': 1020, 'grnd_level': 940}",,"{'speed': 6.35, 'deg': 103}",{'all': 21},1593038497.0,"{'country': 'ZM', 'sunrise': 1593058884, 'sunset': 1593099441}",7200.0,900056.0,Nyimba,200,,
"{'lon': 103.53, 'lat': 48.81}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 56.23, 'feels_like': 54.77, 'temp_min': 56.23, 'temp_max': 56.23, 'pressure': 1009, 'humidity': 74, 'sea_level': 1009, 'grnd_level': 876}",,"{'speed': 1.81, 'deg': 291}",{'all': 0},1593038497.0,"{'country': 'MN', 'sunrise': 1593032618, 'sunset': 1593090796}",28800.0,2032201.0,Bulgan,200,,
"{'lon': 141.43, 'lat': -31.95}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 39.2, 'feels_like': 33.96, 'temp_min': 39.2, 'temp_max': 39.2, 'pressure': 1022, 'humidity': 80}",10000.0,"{'speed': 3.36, 'deg': 30}",{'all': 0},1593038498.0,"{'type': 1, 'id': 9491, 'country': 'AU', 'sunrise': 1593034500, 'sunset': 1593070719}",34200.0,2173911.0,Broken Hill,200,,
"{'lon': 145.77, 'lat': -16.92}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 71.85, 'feels_like': 69.6, 'temp_min': 71.6, 'temp_max': 72, 'pressure': 1016, 'humidity': 68}",10000.0,"{'speed': 10.29, 'deg': 180}",{'all': 90},1593038498.0,"{'type': 1, 'id': 9490, 'country': 'AU', 'sunrise': 1593031554, 'sunset': 1593071582}",36000.0,2172797.0,Cairns,200,,
"{'lon': -53.11, 'lat': 48.65}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 62.38, 'feels_like': 56.39, 'temp_min': 62.38, 'temp_max': 62.38, 'pressure': 1011, 'humidity': 88, 'sea_level': 1011, 'grnd_level': 1010}",,"{'speed': 15.66, 'deg': 210}",{'all': 39},1593038455.0,"{'country': 'CA', 'sunrise': 1592983845, 'sunset': 1593041943}",-9000.0,5905393.0,Bonavista,200,,
"{'lon': 82.45, 'lat': 54.51}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 53.6, 'feels_like': 51.62, 'temp_min': 53.6, 'temp_max': 53.6, 'pressure': 1007, 'humidity': 93}",10000.0,"{'speed': 4.47, 'deg': 280}",{'all': 1},1593038498.0,"{'type': 1, 'id': 8958, 'country': 'RU', 'sunrise': 1593035731, 'sunset': 1593097803}",25200.0,1505506.0,Zavyalovo,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': -54.59, 'lat': 48.97}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 78.39, 'feels_like': 73.94, 'temp_min': 78.01, 'temp_max': 78.8, 'pressure': 1010, 'humidity': 57}",32186.0,"{'speed': 14.99, 'deg': 210, 'gust': 20.8}",{'all': 20},1593038498.0,"{'type': 1, 'id': 912, 'country': 'CA', 'sunrise': 1592984108, 'sunset': 1593042390}",-9000.0,5959335.0,Gander,200,,
,,,,,,,,,,,,404,city not found,
"{'lon': 147.06, 'lat': -42.78}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 47.84, 'feels_like': 45.55, 'temp_min': 46, 'temp_max': 50, 'pressure': 1012, 'humidity': 94}",,"{'speed': 2.48, 'deg': 310}",{'all': 82},1593038228.0,"{'type': 3, 'id': 2031307, 'country': 'AU', 'sunrise': 1593034999, 'sunset': 1593067518}",36000.0,2155415.0,New Norfolk,200,,
"{'lon': 82.18, 'lat': 29.27}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 61.79, 'feels_like': 62.19, 'temp_min': 61.79, 'temp_max': 61.79, 'pressure': 1012, 'humidity': 70, 'sea_level': 1012, 'grnd_level': 774}",,"{'speed': 0.38, 'deg': 129}",{'all': 81},1593038498.0,"{'country': 'NP', 'sunrise': 1593041609, 'sunset': 1593092055}",20700.0,1283285.0,Jumla,200,,{'1h': 0.3}
"{'lon': 147.17, 'lat': -41.45}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 47.82, 'feels_like': 46.08, 'temp_min': 44.6, 'temp_max': 51.01, 'pressure': 1014, 'humidity': 100}",350.0,"{'speed': 2.24, 'deg': 230}",{'all': 90},1593038238.0,"{'type': 1, 'id': 9549, 'country': 'AU', 'sunrise': 1593034709, 'sunset': 1593067755}",36000.0,2160517.0,Launceston,200,,
"{'lon': 61.07, 'lat': 41.32}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 77.2, 'feels_like': 68.31, 'temp_min': 77.2, 'temp_max': 77.2, 'pressure': 1008, 'humidity': 17, 'sea_level': 1008, 'grnd_level': 995}",,"{'speed': 8.7, 'deg': 49}",{'all': 0},1593038498.0,"{'country': 'UZ', 'sunrise': 1593044623, 'sunset': 1593099174}",18000.0,1513957.0,Hazorasp,200,,
"{'lon': -89.67, 'lat': 21.28}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 91.89, 'feels_like': 93.51, 'temp_min': 91, 'temp_max': 93, 'pressure': 1011, 'humidity': 55}",6437.0,"{'speed': 13.87, 'deg': 140}",{'all': 90},1593038498.0,"{'type': 1, 'id': 7140, 'country': 'MX', 'sunrise': 1592997504, 'sunset': 1593045835}",-18000.0,3521108.0,Progreso,200,,
"{'lon': 31.9, 'lat': 54.43}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 59.68, 'feels_like': 58.14, 'temp_min': 59.68, 'temp_max': 59.68, 'pressure': 1027, 'humidity': 82, 'sea_level': 1027, 'grnd_level': 1005}",,"{'speed': 5.06, 'deg': 45}",{'all': 3},1593038359.0,"{'country': 'RU', 'sunrise': 1593047899, 'sunset': 1593109902}",10800.0,525426.0,Sobolevo,200,,
"{'lon': 106.69, 'lat': 35.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 69.1, 'feels_like': 68.76, 'temp_min': 69.1, 'temp_max': 69.1, 'pressure': 1004, 'humidity': 52, 'sea_level': 1004, 'grnd_level': 861}",,"{'speed': 1.1, 'deg': 121}",{'all': 8},1593038366.0,"{'country': 'CN', 'sunrise': 1593034749, 'sunset': 1593087148}",28800.0,1798760.0,Pingliang,200,,
"{'lon': 76.78, 'lat': 19.97}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 81.75, 'feels_like': 89.31, 'temp_min': 81.75, 'temp_max': 81.75, 'pressure': 1003, 'humidity': 69, 'sea_level': 1003, 'grnd_level': 944}",,"{'speed': 0.65, 'deg': 184}",{'all': 92},1593038499.0,"{'country': 'IN', 'sunrise': 1593044124, 'sunset': 1593092132}",19800.0,1258124.0,Risod,200,,
"{'lon': -156.79, 'lat': 71.29}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 35.6, 'feels_like': 27.59, 'temp_min': 35.6, 'temp_max': 35.6, 'pressure': 1007, 'humidity': 74}",16093.0,"{'speed': 6.93, 'deg': 340}",{'all': 40},1593038442.0,"{'type': 1, 'id': 7649, 'country': 'US', 'sunrise': 0, 'sunset': 0}",-28800.0,5880054.0,Barrow,200,,
"{'lon': 91.64, 'lat': 48.01}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 62.02, 'feels_like': 56.05, 'temp_min': 62.02, 'temp_max': 62.02, 'pressure': 1007, 'humidity': 45, 'sea_level': 1007, 'grnd_level': 857}",,"{'speed': 6.82, 'deg': 240}",{'all': 56},1593038213.0,"{'country': 'MN', 'sunrise': 1593035697, 'sunset': 1593093425}",25200.0,1516048.0,Khovd,200,,
"{'lon': 166.1, 'lat': 60.47}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 61.97, 'feels_like': 55.63, 'temp_min': 61.97, 'temp_max': 61.97, 'pressure': 1008, 'humidity': 51, 'sea_level': 1008, 'grnd_level': 980}",,"{'speed': 8.63, 'deg': 335}",{'all': 31},1593038499.0,"{'country': 'RU', 'sunrise': 1593012438, 'sunset': 1593080938}",43200.0,2120591.0,Tilichiki,200,,
"{'lon': -114.35, 'lat': 62.46}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 68.49, 'feels_like': 60.93, 'temp_min': 66, 'temp_max': 69.8, 'pressure': 1003, 'humidity': 43}",24140.0,"{'speed': 11.41, 'deg': 180, 'gust': 18.34}",{'all': 75},1593038225.0,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1592991654, 'sunset': 1593063533}",-21600.0,6185377.0,Yellowknife,200,,
"{'lon': 155.63, 'lat': -6.22}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 84.11, 'feels_like': 88.59, 'temp_min': 84.11, 'temp_max': 84.11, 'pressure': 1011, 'humidity': 64, 'sea_level': 1011, 'grnd_level': 1008}",,"{'speed': 6.13, 'deg': 139}",{'all': 9},1593038499.0,"{'country': 'PG', 'sunrise': 1593028031, 'sunset': 1593070371}",39600.0,2094027.0,Kieta,200,,
"{'lon': -109.91, 'lat': 22.89}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 93.2, 'feels_like': 78.82, 'temp_min': 93.2, 'temp_max': 93.2, 'pressure': 1009, 'humidity': 12}",16093.0,"{'speed': 19.46, 'deg': 240}",{'all': 5},1593038374.0,"{'type': 1, 'id': 7151, 'country': 'MX', 'sunrise': 1593002162, 'sunset': 1593050894}",-21600.0,3985710.0,Cabo San Lucas,200,,
"{'lon': 46.32, 'lat': -15.72}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 71.6, 'feels_like': 77.86, 'temp_min': 71.6, 'temp_max': 71.6, 'pressure': 1016, 'humidity': 94}",10000.0,"{'speed': 2.24, 'deg': 0}",{'all': 4},1593038239.0,"{'type': 1, 'id': 2143, 'country': 'MG', 'sunrise': 1593055290, 'sunset': 1593095589}",10800.0,1062663.0,Mahajanga,200,,
"{'lon': -110.73, 'lat': 54.27}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 73.4, 'feels_like': 70.14, 'temp_min': 73.4, 'temp_max': 73.4, 'pressure': 1009, 'humidity': 46}",24140.0,"{'speed': 6.6, 'deg': 262}",{'all': 40},1593038499.0,"{'type': 1, 'id': 870, 'country': 'CA', 'sunrise': 1592995780, 'sunset': 1593057669}",-21600.0,5905616.0,Bonnyville,200,,
"{'lon': -56.15, 'lat': 72.79}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 34.9, 'feels_like': 30.61, 'temp_min': 34.9, 'temp_max': 34.9, 'pressure': 1008, 'humidity': 88, 'sea_level': 1008, 'grnd_level': 1008}",,"{'speed': 1.19, 'deg': 349}",{'all': 38},1593038442.0,"{'country': 'GL', 'sunrise': 0, 'sunset': 0}",-7200.0,3418910.0,Upernavik,200,,
,,,,,,,,,,,,404,city not found,
,,,,,,,,,,,,404,city not found,
"{'lon': -27.98, 'lat': 39.05}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 63.27, 'feels_like': 57.99, 'temp_min': 63.27, 'temp_max': 63.27, 'pressure': 1030, 'humidity': 68, 'sea_level': 1030, 'grnd_level': 1024}",,"{'speed': 10.76, 'deg': 327}",{'all': 0},1593038499.0,"{'country': 'PT', 'sunrise': 1592980029, 'sunset': 1593033694}",0.0,3372964.0,Lagoa,200,,
"{'lon': -123.21, 'lat': 39.15}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 90.3, 'feels_like': 82.15, 'temp_min': 84, 'temp_max': 93.2, 'pressure': 1008, 'humidity': 26}",16093.0,"{'speed': 14.99, 'deg': 310, 'gust': 21.92}",{'all': 1},1593038499.0,"{'type': 1, 'id': 6129, 'country': 'US', 'sunrise': 1593002870, 'sunset': 1593056570}",-25200.0,5404476.0,Ukiah,200,,
"{'lon': 107.36, 'lat': 34.37}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 75.06, 'feels_like': 77.63, 'temp_min': 75.06, 'temp_max': 75.06, 'pressure': 1005, 'humidity': 61, 'sea_level': 1005, 'grnd_level': 942}",,"{'speed': 1.7, 'deg': 267}",{'all': 1},1593038499.0,"{'country': 'CN', 'sunrise': 1593034783, 'sunset': 1593086793}",28800.0,1809263.0,Guozhen,200,,
"{'lon': -52.33, 'lat': 4.93}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 78.8, 'feels_like': 88.02, 'temp_min': 78.8, 'temp_max': 78.8, 'pressure': 1010, 'humidity': 100}",10000.0,"{'speed': 6.2, 'deg': 69}",{'all': 75},1593038500.0,"{'type': 1, 'id': 8669, 'country': 'GF', 'sunrise': 1592990375, 'sunset': 1593035038}",-10800.0,3382160.0,Cayenne,200,,
"{'lon': 40.3, 'lat': 51.14}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 56.89, 'feels_like': 52.43, 'temp_min': 56.89, 'temp_max': 56.89, 'pressure': 1019, 'humidity': 87, 'sea_level': 1019, 'grnd_level': 1003}",,"{'speed': 9.62, 'deg': 354}",{'all': 0},1593038500.0,"{'country': 'RU', 'sunrise': 1593047083, 'sunset': 1593106686}",10800.0,492042.0,Sloboda,200,,
"{'lon': -39.25, 'lat': -17.71}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 71.08, 'feels_like': 73.36, 'temp_min': 71.08, 'temp_max': 71.08, 'pressure': 1019, 'humidity': 79, 'sea_level': 1019, 'grnd_level': 1018}",,"{'speed': 4.74, 'deg': 124}",{'all': 21},1593038500.0,"{'country': 'BR', 'sunrise': 1592989644, 'sunset': 1593029491}",-10800.0,3466980.0,Caravelas,200,,
"{'lon': 54.09, 'lat': 17.02}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 82.4, 'feels_like': 91.08, 'temp_min': 82.4, 'temp_max': 82.4, 'pressure': 1001, 'humidity': 94}",10000.0,"{'speed': 9.17, 'deg': 210}",{'all': 44},1593038449.0,"{'type': 1, 'id': 7562, 'country': 'OM', 'sunrise': 1593049920, 'sunset': 1593097229}",14400.0,286621.0,Salalah,200,,
"{'lon': -69.18, 'lat': -12.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 77.04, 'feels_like': 84.22, 'temp_min': 77.04, 'temp_max': 77.04, 'pressure': 1006, 'humidity': 85, 'sea_level': 1006, 'grnd_level': 986}",,"{'speed': 2.82, 'deg': 198}",{'all': 96},1593038500.0,"{'country': 'PE', 'sunrise': 1592996260, 'sunset': 1593037243}",-18000.0,3931470.0,Puerto Maldonado,200,,
"{'lon': 15.91, 'lat': 56.74}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 59.58, 'feels_like': 59.61, 'temp_min': 57.2, 'temp_max': 62.01, 'pressure': 1027, 'humidity': 93}",10000.0,"{'speed': 4.18, 'deg': 265}",{'all': 0},1593038500.0,"{'type': 1, 'id': 1757, 'country': 'SE', 'sunrise': 1593050708, 'sunset': 1593114770}",7200.0,2687902.0,Nybro,200,,
"{'lon': 140.83, 'lat': 35.73}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 64.54, 'feels_like': 63.61, 'temp_min': 62.6, 'temp_max': 66.2, 'pressure': 1010, 'humidity': 93}",3500.0,"{'speed': 9.17, 'deg': 30}",{'all': 75},1593038500.0,"{'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1593026521, 'sunset': 1593078987}",32400.0,2112802.0,Hasaki,200,,
"{'lon': -54.33, 'lat': -34.48}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 57.92, 'feels_like': 57.7, 'temp_min': 57.92, 'temp_max': 57.92, 'pressure': 1004, 'humidity': 96, 'sea_level': 1004, 'grnd_level': 1001}",,"{'speed': 4.16, 'deg': 123}",{'all': 98},1593038500.0,"{'country': 'UY', 'sunrise': 1592995461, 'sunset': 1593030913}",-10800.0,3440777.0,Rocha,200,,
"{'lon': 145.43, 'lat': -17}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 68.27, 'feels_like': 72.25, 'temp_min': 61, 'temp_max': 72, 'pressure': 1015, 'humidity': 92}",,"{'speed': 3, 'deg': 154, 'gust': 7}",{'all': 10},1593038500.0,"{'type': 3, 'id': 20843, 'country': 'AU', 'sunrise': 1593031644, 'sunset': 1593071655}",36000.0,2158767.0,Mareeba,200,,
"{'lon': 126.17, 'lat': 6.37}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 82.87, 'feels_like': 89.87, 'temp_min': 82.87, 'temp_max': 82.87, 'pressure': 1009, 'humidity': 74, 'sea_level': 1009, 'grnd_level': 1007}",,"{'speed': 4.63, 'deg': 326}",{'all': 100},1593038500.0,"{'country': 'PH', 'sunrise': 1593033790, 'sunset': 1593078756}",28800.0,1698289.0,Pundaguitan,200,,
"{'lon': 110.35, 'lat': 20.01}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 82.4, 'feels_like': 91.11, 'temp_min': 82.4, 'temp_max': 82.4, 'pressure': 1004, 'humidity': 88}",10000.0,"{'speed': 6.71, 'deg': 180}",{'all': 100},1593038500.0,"{'type': 1, 'id': 9635, 'country': 'CN', 'sunrise': 1593036061, 'sunset': 1593084079}",28800.0,1797535.0,Qiongshan,200,,
"{'lon': 30.25, 'lat': 1.57}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 64.09, 'feels_like': 65.05, 'temp_min': 64.09, 'temp_max': 64.09, 'pressure': 1013, 'humidity': 86, 'sea_level': 1013, 'grnd_level': 876}",,"{'speed': 4, 'deg': 119}",{'all': 49},1593038500.0,"{'country': 'CD', 'sunrise': 1593057317, 'sunset': 1593101277}",7200.0,217695.0,Bunia,200,,
